SCORING,GP,GS,MPG,PPG,PPS,HIGH
"17 Reaves, Josh Reaves, J. SG",2,0,0.5,0.0,0.00,0
"18 Patton, Justin Patton, J. C",0,0,-,-,-,4
"1 Irving, Kyrie Irving, K. PG",20,20,32.9,27.4,1.32,54
"2 Dinwiddie, Spencer Dinwiddie, S. PG",48,33,31.1,21.5,1.28,41
"3 Harris, Joe Harris, J. SG",47,47,31.5,13.7,1.23,25
"4 LeVert, Caris LeVert, C. SG",23,9,26.1,13.3,1.02,27
"5 Prince, Taurean Prince, T. SF",48,48,29.9,12.4,1.06,27
"6 Allen, Jarrett Allen, J. C",48,44,27.3,11.4,1.68,22
"7 Temple, Garrett Temple, G. SG",43,31,28.7,10.3,1.07,27
"8 Jordan, DeAndre Jordan, D. C",40,4,20.9,7.8,1.63,16
"9 Chandler, Wilson Chandler, W. PF",20,0,20.5,6.4,1.22,15
"10 Nwaba, David Nwaba, D. SG",20,0,13.4,5.2,1.46,13
"11 Luwawu-Cabarrot, Timothe Luwawu-Cabarrot, T. SG",24,0,14.9,4.9,1.33,12
"12 Kurucs, Rodions Kurucs, R. SF",30,4,13.1,4.5,1.31,19
"13 Claxton, Nicolas Claxton, N. PF",14,0,13.1,4.4,1.35,15
"14 Pinson, Theo Pinson, T. SG",27,0,12.3,4.4,0.8,12
"15 Musa, Dzanan Musa, D. SG",33,0,11.9,4.2,1.02,14
"16 Shumpert, Iman Shumpert, I. SG",13,0,18.5,4.2,0.84,9
"17 Anderson, Justin Anderson, J. SG",3,0,5.7,1.0,0.5,2
"18 Ellenson, Henry Ellenson, H. PF",5,0,3.0,0.4,0.29,2
"19 Chiozza, Chris Chiozza, C. PG",2,0,6.0,0.0,0.0,8
"19 Martin , Jeremiah Martin , J. PG",1,0,2.0,0.0,0.0,0
"1 Jokic, Nikola Jokic, N. C",50,50,32.2,20.2,1.33,47
"2 Murray, Jamal Murray, J. PG",40,40,32.0,17.6,1.18,39
"3 Barton, Will Barton, W. SG",47,47,33.5,15.1,1.16,31
"4 Millsap, Paul Millsap, P. PF",32,32,24.9,11.9,1.35,23
"5 Grant, Jerami Grant, J. SF",50,17,25.9,11.2,1.31,25
"6 Harris, Gary Harris, G. SG",41,40,32.2,10.5,1.09,25
"7 Morris, Monte Morris, M. PG",50,7,20.5,8.1,1.11,19
"8 Porter, Michael Porter, M. PF",39,1,14.3,8.0,1.31,25
"9 Beasley, Malik Beasley, M. SG",40,0,18.1,7.8,1.09,27
"10 Plumlee, Mason Plumlee, M. PF",43,1,17.4,7.4,1.51,15
"11 Dozier, P.J. Dozier, P. SG",10,0,14.1,6.5,1.05,15
"12 Craig, Torrey Craig, T. SF",37,15,16.5,4.5,1.13,15
"13 Hernangomez, Juancho Hernangomez, J. SF",33,0,11.9,3.0,0.96,15
"14 Vanderbilt, Jarred Vanderbilt, J. SF",8,0,4.3,1.0,1.33,4
"15 Cancar, Vlatko Cancar, V. SF",9,0,1.8,0.8,1.4,3
"1 Sabonis, Domantas Sabonis, D. PF",46,46,34.4,18.2,1.34,29
"2 Warren, T.J. Warren, T. SF",49,49,32.2,18.1,1.3,36
"3 Brogdon, Malcolm Brogdon, M. SG",35,35,30.4,16.7,1.21,31
"4 Lamb, Jeremy Lamb, J. SG",38,38,28.8,12.9,1.2,30
"5 Turner, Myles Turner, M. C",39,39,29.1,12.1,1.28,27
